04:30,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,0.9,22.1,04:20,彦根/大津,,
04:30,kyoto,5,0,0,0,0,0,0.0,0.0,3.1,23.5,04:20,京都/大阪,,
04:30,nara,0,0,0,0,0,0,0.0,0.0,1.2,22.4,04:20,京都/京田辺,,
04:30,sagano,0,0,0,0,0,0,0.0,0.0,1.2,22.4,04:20,京都/園部,,
04:40,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,1.1,22.1,04:30,彦根/大津,,
04:40,kyoto,4,0,0,0,0,0,0.0,0.0,2.6,23.5,04:30,京都/大阪,,
04:40,nara,0,0,0,0,0,0,0.0,0.0,1.3,22.5,04:30,京都/京田辺,,
04:40,sagano,1,0,0,0,0,0,0.0,0.0,1.3,22.5,04:30,京都/園部,,
04:49,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,1.1,22.1,04:40,彦根/大津,,
04:49,kyoto,4,0,0,0,0,0,0.0,0.0,2.2,23.4,04:40,京都/大阪,,
04:49,nara,0,0,0,0,0,0,0.0,0.0,0.6,22.4,04:40,京都/京田辺,,
04:49,sagano,1,0,0,0,0,0,0.0,0.0,1.3,22.4,04:40,京都/園部,,
04:56,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,1.1,22.1,04:40,彦根/大津,,
04:56,kyoto,6,0,0,0,0,0,0.0,0.0,2.2,23.4,04:40,京都/大阪,,
04:56,nara,1,0,0,0,0,0,0.0,0.0,0.6,22.4,04:40,京都/京田辺,,
04:56,sagano,1,0,0,0,0,0,0.0,0.0,1.3,22.4,04:40,京都/園部,,
05:06,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,1.3,22.1,04:50,彦根/大津,,
05:06,kyoto,6,0,0,0,0,0,0.0,0.0,2.1,23.3,04:50,京都/大阪,,
05:06,nara,1,0,0,0,0,0,0.0,0.0,1.0,22.4,04:50,京都/京田辺,,
05:06,sagano,1,0,0,0,0,0,0.0,0.0,1.2,22.4,04:50,京都/園部,,
05:19,hokurikubiwako,5,0,0,0,0,0,0.0,0.0,1.0,22.2,05:10,彦根/大津,,
05:19,kyoto,7,0,0,0,0,0,0.0,0.0,2.0,23.2,05:10,京都/大阪,,
05:19,nara,1,0,0,0,0,0,0.0,0.0,1.2,22.0,05:10,京都/京田辺,,
05:19,sagano,1,0,0,0,0,0,0.5,0.5,1.2,22.0,05:10,京都/園部,,
05:32,hokurikubiwako,8,0,0,0,0,0,0.0,0.0,1.0,22.2,05:20,彦根/大津,,
05:32,kyoto,11,0,0,0,0,0,0.0,0.0,2.0,23.2,05:20,京都/大阪,,
05:32,nara,2,0,0,0,0,0,0.0,0.0,1.9,21.8,05:20,京都/京田辺,,
05:32,sagano,1,0,0,0,0,0,0.5,0.0,1.9,21.8,05:20,京都/園部,,
